repetition,acc.train,auc.train,acc.test,auc.test;;;;;
1,0.657952069716776,0.896933628345704,0.607843137254902,0.774797570850202;;;;;
1,0.854030501089325,0.910168165096345,0.686274509803922,0.634169884169884;;;;;
1,0.774509803921569,0.836227876106195,0.774509803921569,0.768888888888889;;;;;
1,0.708061002178649,0.871688277210279,0.656862745098039,0.678048780487805;;;;;
1,0.861655773420479,0.907711435242745,0.715686274509804,0.757386363636364;;;;;
1,0.788671023965142,0.888392857142857,0.617647058823529,0.689006466784244;;;;;
1,0.941176470588235,0.979638376568201,0.696078431372549,0.686429512516469;;;;;
1,0.823529411764706,0.881429022844291,0.764705882352941,0.798148148148148;;;;;
1,0.691721132897604,0.903168125603564,0.588235294117647,0.757142857142857;;;;;
1,0.808278867102396,0.866651055884546,0.813725490196078,0.827702702702703;;;;;
2,0.741830065359477,0.886393969352447,0.666666666666667,0.758148323098725;;;;;
2,0.810457516339869,0.838274351279571,0.725490196078431,0.663610038610039;;;;;
2,0.934640522875817,0.981009937385128,0.696078431372549,0.705357142857143;;;;;
2,0.886710239651416,0.946496042696425,0.784313725490196,0.7625;;;;;
2,0.781045751633987,0.765875449977385,0.764705882352941,0.776851851851852;;;;;
2,0.900871459694989,0.96182898948331,0.843137254901961,0.759615384615385;;;;;
2,0.830065359477124,0.877885565991102,0.774509803921569,0.832782239017477;;;;;
2,0.764705882352941,0.916476122239183,0.617647058823529,0.715625;;;;;
2,0.808278867102396,0.846753913879714,0.784313725490196,0.707122093023256;;;;;
2,0.825708061002179,0.903876717687907,0.656862745098039,0.727272727272727;;;;;
3,0.863834422657952,0.945498557386669,0.813725490196078,0.775584415584416;;;;;
3,0.79520697167756,0.814514335145823,0.784313725490196,0.722720831365139;;;;;
3,0.907407407407407,0.973776223776224,0.754901960784314,0.678441558441558;;;;;
3,0.929193899782135,0.972485996512223,0.774509803921569,0.726351351351351;;;;;
3,0.741830065359477,0.753688110683594,0.705882352941177,0.629166666666667;;;;;
3,0.850762527233116,0.885291876238378,0.784313725490196,0.735042735042735;;;;;
3,0.799564270152505,0.907666427837139,0.627450980392157,0.66875;;;;;
3,0.79520697167756,0.819942232055064,0.794117647058823,0.68641975308642;;;;;
3,0.791938997821351,0.89609727992237,0.666666666666667,0.709659090909091;;;;;
3,0.82244008714597,0.852859553034378,0.764705882352941,0.741298701298701;;;;;
